# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 85	title	Conflict between Muršili III (Urḫi-Teššup) and Ḫattušili III
CTH 86	title	Edict of Ḫattušili III concerning the estate of Arma-Tarḫunta
CTH 87	title	Decree of Ḫattušili III in favor of the sons of Mittannamuwa
CTH 88	title	Decree of Ḫattušili III regarding the exemption of the ḫekur of Pirwa from taxation
CTH 89	title	Decree of Ḫattušili III concerning the people of Tiliura
CTH 90	title	Edict of Ḫattušili III regarding the Restoration of Nerik
CTH 91	title	Treaty of Ḫattušili III with Ramses II of Egypt
CTH 92	title	Treaty of Ḫattušili III with Bentešina of Amurru
CTH 93	title	Edict of Ḫattušili III concerning the merchants of Ura
CTH 94	title	Edict of Ḫattušili III concerning the fugitives from Ugarit
CTH 95	title	Edict of Puduḫepa concerning a shipwreck in Ugarit
CTH 96	title	Declaration of Kurunta of Tarḫuntašša
CTH 97	unassigned	
CTH 98	title	Letter? mentioning Bentešina and Egypt
CTH 99	title	Historical report
CTH 100	title	Agreement between Ini-Teššup of Karkamiš and Ugarit
CTH 101	title	Fragments concerning the restoration of Nerik
CTH 102	unassigned	
CTH 103	unassigned	
CTH 104	unassigned	
CTH 105	title	Treaty of Tutḫaliya IV with Šaušgamuwa of Amurru
CTH 106	title	Treaties with the kings of Tarḫuntašša
CTH 107	title	Edict of Tutḫaliya IV concerning the Divorce of Ammištamru II of Ugarit from the daughter of Bentešina of Amurru
CTH 108	title	Edict of Tutḫaliya IV concerning the exemption of Ammištamru of Ugarit from war with Assyria
CTH 109	title	Decisions of Armaziti
CTH 110	title	Letter of Piḫawalwi to Ibiranu of Ugarit
CTH 111	title	Edict of Tutḫaliya IV concerning a territorial conflict between Ugarit and Šiyannu
CTH 112	title	Letters of Aliḫesni and Armaziti concerning the border of Ugarit
CTH 113	title	Letter of Hišmi-Kušuḫ to the prefects of Ugarit
CTH 114	title	Letter concerning the battle of Niḫriya
CTH 115	title	Edict of Tutḫaliya IV? concerning Šaušgamuwa of Amurru
CTH 116	title	Edict of Tutḫaliya IV? settling the affair of the former wife of Ammištamru II of Ugarit
CTH 117	unassigned	
CTH 118	unassigned	
CTH 119	unassigned	
CTH 120	unassigned	
CTH 121	title	Inscription of Šuppiluliuma II about the conquest of Alašiya
CTH 122	title	Treaty of Šuppiluliuma II with Talmi-Teššup of Karkamiš
CTH 123	title	Treaty of Tutḫaliya IV or Šuppiluliuma II with an unknown party
CTH 124	title	Loyalty oath of a scribe (Tagi-Šarruma?)
CTH 125	unassigned	
CTH 126	title	Historical fragments referring to Šuppiluliuma II
CTH 127	title	Letter about years of famine and deliveries of grain
CTH 128	unassigned	
CTH 129	unassigned	
CTH 130	unassigned	
CTH 131	unassigned	
CTH 132	title	Treaty with Kizzuwatna
CTH 133	title	Treaty of Arnuwanda I with the Išmirigaeans
CTH 134	title	Treaty with Kuruštama
CTH 135	title	Treaty of Tutḫaliya I? with Tunip
CTH 136	title	Treaty of Šuppiluliuma I with Mukiš
CTH 137	title	Treaty of Arnuwanda I with the Kaška
CTH 138	title	Treaty of Arnuwanda I with the Kaška
CTH 139	title	Treaty of Arnuwanda I with the Kaška
CTH 140	title	Fragments of treaties of Arnuwanda I with the Kaška
CTH 141	title	Treaty of Šuppiluliuma II with Alašiya
CTH 142	title	Annals of Tutḫaliya I
CTH 143	title	Annals of Arnuwanda I
CTH 144	title	Agreement of Arnuwanda I with the people of Ura
CTH 145	title	Oath text from the time of Šuppiluliuma II
CTH 146	title	Mida of Paḫḫuwa
CTH 147	title	Indictment of Madduwatta
CTH 148	title	Historical report of Arnuwanda I
CTH 149	unassigned	
CTH 150	unassigned	
CTH 151	title	Letter from Amenophis III to Tarḫundaradu of Arzawa
CTH 152	title	Letter from Arzawa to Amenophis III
CTH 153	title	Letter from Šuppiluliuma I to Ḫureya (sc. Amenophis IV/Echnaton, Tutanchamun or Semenchkare)
CTH 154	title	Letter from Šuppiluliuma I to Ay?
CTH 155	title	Letter from Ramses II to Ḫattušili III about Urḫi-Teššup
CTH 156	title	Letters from Ramses II to Ḫattušili III about Urḫi-Teššup
CTH 157	title	Marriage letters from Ramses II to Ḫattušili III
